month_date,cpo_price,soyoil_price,sunflower_price,rapeseed_price
2015-01-01,719.64,796.58,870.71,777.72
2015-02-01,723.04,762.61,825.0,762.51
2015-03-01,698.86,749.93,804.55,751.16
2015-04-01,682.75,747.74,833.5,747.72
2015-05-01,697.35,785.13,916.05,769.95
2015-06-01,705.91,788.21,927.95,841.79
2015-07-01,680.0,752.32,917.39,809.98
2015-08-01,601.38,728.33,894.75,753.56
2015-09-01,599.5,720.4,896.82,771.69
2015-10-01,636.67,743.3,961.59,809.13
2015-11-01,608.21,727.34,915.24,799.62
2015-12-01,607.38,765.7,898.18,820.94
2016-01-01,611.63,736.03,885.35,781.35
2016-02-01,679.17,767.24,898.19,779.88
2016-03-01,715.95,765.61,859.19,766.26
2016-04-01,775.0,794.13,875.95,808.51
2016-05-01,753.42,795.64,881.0,805.59
2016-06-01,718.18,799.91,860.23,793.48
2016-07-01,678.16,796.67,832.86,767.83
2016-08-01,771.02,824.42,830.35,817.52
2016-09-01,797.85,837.21,865.73,849.65
2016-10-01,749.75,861.26,873.0,914.14
2016-11-01,766.93,885.11,873.0,918.26
2016-12-01,811.38,916.7,873.0,930.43
2017-01-01,825.0,876.85,873.0,890.82
2017-02-01,808.61,839.6,873.0,874.38
2017-03-01,778.7,814.94,835.17,847.32
2017-04-01,752.06,794.04,797.67,839.33
2017-05-01,762.75,825.06,795.0,842.05
2017-06-01,735.14,832.95,794.36,847.47
2017-07-01,720.48,835.6,793.0,905.99
2017-08-01,717.95,861.72,815.74,875.36
2017-09-01,754.25,889.44,822.24,872.87
2017-10-01,746.79,880.6,804.82,897.25
2017-11-01,728.86,886.77,809.86,962.98
2017-12-01,679.17,867.19,800.76,901.97
2018-01-01,703.45,870.5,799.04,848.38
2018-02-01,709.44,843.56,806.0,827.48
2018-03-01,706.19,836.68,800.91,800.24
2018-04-01,701.18,831.85,799.33,793.31
2018-05-01,687.15,793.25,801.32,811.49
2018-06-01,656.5,788.57,775.0,838.02
2018-07-01,616.14,780.45,780.05,848.61
2018-08-01,614.75,761.82,763.23,853.67
2018-09-01,605.15,754.05,733.95,821.47
2018-10-01,589.8,751.58,718.04,850.29
2018-11-01,539.1,729.22,706.09,840.39
2018-12-01,535.02,727.88,703.0,827.02
2019-01-01,584.58,747.79,688.13,859.73
2019-02-01,602.97,772.82,700.0,829.7
2019-03-01,573.02,750.33,711.71,808.68
2019-04-01,588.45,733.77,713.0,805.96
2019-05-01,564.4,742.53,721.57,815.84
2019-06-01,552.19,742.89,725.0,840.01
2019-07-01,543.88,748.17,753.83,845.27
2019-08-01,586.12,793.21,776.0,877.48
2019-09-01,580.3,779.25,776.0,903.07
2019-10-01,591.35,770.8,776.0,908.67
2019-11-01,685.41,770.2,776.0,891.17
2019-12-01,763.73,833.52,776.0,900.66
2020-01-01,810.07,875.64,806.91,945.39
2020-02-01,728.81,800.41,823.0,902.34
2020-03-01,636.25,747.8,730.0,796.67
2020-04-01,608.88,679.98,732.1,758.96
2020-05-01,576.56,684.78,738.26,799.83
2020-06-01,656.49,755.71,788.36,850.98
2020-07-01,694.16,821.11,833.17,890.21
2020-08-01,760.3,866.94,877.14,921.55
2020-09-01,796.22,905.86,982.38,938.14
2020-10-01,819.27,914.77,981.4,927.71
2020-11-01,917.81,973.88,1109.11,1047.78
2020-12-01,1016.37,1026.2,1170.02,1097.63
2021-01-01,990.27,1098.67,1276.12,1141.24
2021-02-01,1019.86,1123.5,1362.57,1272.13
2021-03-01,1030.48,1284.81,1611.11,1321.88
2021-04-01,1078.05,1386.35,1572.8,1312.33
2021-05-01,1136.46,1574.67,1584.59,1531.38
2021-06-01,1004.42,1518.16,1296.75,1527.59
2021-07-01,1062.99,1468.34,1282.01,1410.08
2021-08-01,1141.82,1433.94,1355.69,1519.19
2021-09-01,1181.38,1398.75,1309.52,1629.14
2021-10-01,1310.25,1483.52,1420.53,1795.17
2021-11-01,1340.65,1442.96,1415.62,1825.34
2021-12-01,1270.29,1411.21,1361.83,1742.5
2022-01-01,1344.79,1469.56,1411.73,1865.36
2022-02-01,1522.36,1595.74,1499.12,1744.2
2022-03-01,1776.96,1956.88,2361.13,2162.3
2022-04-01,1682.74,1947.51,2275.76,2266.17
2022-05-01,1716.92,1962.88,2079.3,2218.45
2022-06-01,1501.1,1751.76,1884.59,2000.53
2022-07-01,1056.64,1533.4,1556.87,1737.34
2022-08-01,1025.95,1598.78,1496.22,1638.85
2022-09-01,909.32,1548.32,1304.75,1402.02
2022-10-01,888.99,1575.9,1359.15,1408.01
2022-11-01,945.74,1651.6,1347.28,1377.58
2022-12-01,940.39,1409.24,1233.8,1259.95
2023-01-01,941.97,1351.77,1218.34,1223.58
2023-02-01,949.98,1243.01,1158.6,1188.57
2023-03-01,972.06,1113.19,1075.05,1053.74
2023-04-01,1005.24,1029.97,1034.83,1026.14
2023-05-01,934.06,988.32,961.79,967.27
2023-06-01,816.97,1007.12,910.95,990.58
2023-07-01,878.5,1135.74,1038.8,1107.99
2023-08-01,860.82,1126.53,989.42,1066.77
2023-09-01,829.6,1111.63,894.81,1047.44
2023-10-01,804.26,1133.87,910.17,1060.31
2023-11-01,830.47,1118.39,943.6,1039.32
2023-12-01,813.51,1062.48,944.03,1009.98
2024-01-01,844.9,971.46,943.36,972.06
2024-02-01,856.93,911.9,925.08,962.71
2024-03-01,942.92,964.95,950.93,1029.01
2024-04-01,935.69,958.56,971.27,1058.58
2024-05-01,859.15,988.0,1005.73,1104.11
2024-06-01,873.67,1010.68,1043.05,1099.12
2024-07-01,896.09,1079.02,1068.51,1118.33
2024-08-01,932.63,1031.38,1048.56,1080.09
2024-09-01,982.83,1043.81,1068.0,1082.78
2024-10-01,1077.25,1094.89,1205.71,1142.14
2024-11-01,1168.59,1145.17,1267.0,1242.92
2024-12-01,1189.73,1063.63,1222.5,1180.82
2025-01-01,1070.31,1047.62,1207.0,1149.13
2025-02-01,1067.27,1068.51,1220.0,1159.1
2025-03-01,1067.6,1011.43,1232.5,1193.09
2025-04-01,994.37,1119.53,1225.0,1256.48
2025-05-01,907.58,1163.05,1208.0,1241.14
2025-06-01,935.39,1177.97,1196.25,1252.26
2025-07-01,976.38,1306.6,1213.75,1202.37
2025-08-01,1026.12,1244.55,1273.75,1212.6
2025-09-01,1036.74,1159.27,1312.09,1267.98
2025-10-01,1038.09,1132.15,1363.0,1264.23
2025-11-01,983.4,1128.37,1360.0,1259.25
2025-12-01,980.12,1115.67,1352.0,1258.25
2026-01-01,1004.66,1153.54,1441.0,1223.32
2026-02-01,1039.47,1281.96,1445.0,1275.21
2026-03-01,1108.61,1493.09,1465.0,1303.9
2026-04-01,1146.2,1643.42,1485.0,1344.7
2026-05-01,1139.94,1775.26,1505.0,1472.53
