month_date,fao_veg_oil_index
2015-01-01,95.0
2015-02-01,95.18
2015-03-01,92.62
2015-04-01,91.87
2015-05-01,94.49
2015-06-01,95.89
2015-07-01,90.43
2015-08-01,82.29
2015-09-01,81.96
2015-10-01,87.76
2015-11-01,85.13
2015-12-01,86.68
2016-01-01,85.29
2016-02-01,92.15
2016-03-01,97.34
2016-04-01,101.17
2016-05-01,99.56
2016-06-01,97.93
2016-07-01,94.9
2016-08-01,102.39
2016-09-01,104.32
2016-10-01,101.85
2016-11-01,106.16
2016-12-01,110.26
2017-01-01,112.19
2017-02-01,107.97
2017-03-01,101.59
2017-04-01,97.58
2017-05-01,101.96
2017-06-01,97.47
2017-07-01,96.66
2017-08-01,99.16
2017-09-01,103.83
2017-10-01,102.68
2017-11-01,103.85
2017-12-01,97.96
2018-01-01,98.25
2018-02-01,95.6
2018-03-01,95.36
2018-04-01,94.02
2018-05-01,92.15
2018-06-01,89.33
2018-07-01,86.9
2018-08-01,84.43
2018-09-01,82.33
2018-10-01,81.33
2018-11-01,76.59
2018-12-01,76.84
2019-01-01,80.26
2019-02-01,81.78
2019-03-01,78.41
2019-04-01,79.11
2019-05-01,78.5
2019-06-01,77.46
2019-07-01,78.09
2019-08-01,82.59
2019-09-01,83.89
2019-10-01,84.11
2019-11-01,93.16
2019-12-01,101.5
2020-01-01,108.73
2020-02-01,97.55
2020-03-01,85.42
2020-04-01,81.18
2020-05-01,77.77
2020-06-01,86.61
2020-07-01,93.2
2020-08-01,98.7
2020-09-01,104.6
2020-10-01,106.45
2020-11-01,121.9
2020-12-01,131.2
2021-01-01,138.87
2021-02-01,147.46
2021-03-01,159.3
2021-04-01,162.19
2021-05-01,174.9
2021-06-01,157.7
2021-07-01,155.5
2021-08-01,165.9
2021-09-01,168.6
2021-10-01,184.8
2021-11-01,184.6
2021-12-01,178.5
2022-01-01,185.9
2022-02-01,201.7
2022-03-01,251.8
2022-04-01,237.5
2022-05-01,229.2
2022-06-01,211.8
2022-07-01,168.8
2022-08-01,163.3
2022-09-01,152.6
2022-10-01,151.3
2022-11-01,154.7
2022-12-01,144.6
2023-01-01,140.4
2023-02-01,135.9
2023-03-01,131.8
2023-04-01,130.0
2023-05-01,118.7
2023-06-01,115.8
2023-07-01,129.8
2023-08-01,125.8
2023-09-01,120.9
2023-10-01,120.0
2023-11-01,124.1
2023-12-01,122.3
2024-01-01,122.5
2024-02-01,120.9
2024-03-01,130.6
2024-04-01,130.9
2024-05-01,127.8
2024-06-01,131.8
2024-07-01,135.0
2024-08-01,136.1
2024-09-01,142.4
2024-10-01,152.7
2024-11-01,164.1
2024-12-01,162.1
2025-01-01,153.0
2025-02-01,156.0
2025-03-01,161.8
2025-04-01,158.0
2025-05-01,152.2
2025-06-01,155.7
2025-07-01,166.8
2025-08-01,169.1
2025-09-01,167.9
2025-10-01,169.4
2025-11-01,165.0
2025-12-01,165.2
2026-01-01,168.6
2026-02-01,174.2
2026-03-01,183.1
2026-04-01,193.9
2026-05-01,185.0
